;project_name;project_path;nb_XML_files_beans_config;nb_Java_files_beans_config;nb_total_files_beans_config;nb_XML_beans;nb_Java_beans;nb_total_beans;is_autowired;nb_Java_files;LoC_Java;stargazers_count;watchers_count;forks_count;open_issues_count;score;size;created_at;nb_components_graph
4;abel533/Mybatis-Spring;/users/ssr-lgi2p/qperez/mining/repositories/abel533/Mybatis-Spring;2;0;2;20;0;20;False;16;414;794;794;567;23;63.453518;1902;2014-11-21T17:03:40Z;4
15;ameizi/spring-quartz-cluster-sample;/users/ssr-lgi2p/qperez/mining/repositories/ameizi/spring-quartz-cluster-sample;2;0;2;7;0;7;False;10;580;172;172;132;0;47.77201;107;2016-08-04T08:16:21Z;6
31;baichengzhou/SpringMVC-Mybatis-shiro;/users/ssr-lgi2p/qperez/mining/repositories/baichengzhou/SpringMVC-Mybatis-shiro;5;0;5;47;0;47;False;90;6155;304;304;233;0;63.41063;520;2016-06-21T02:24:22Z;23
32;baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2;/users/ssr-lgi2p/qperez/mining/repositories/baichengzhou/SpringMVC-Mybatis-Shiro-redis-0.2;5;0;5;49;0;49;False;91;6330;1271;1271;991;26;72.91698;26304;2016-11-25T10:12:46Z;21
48;BottegaIT/ddd-leaven-v2;/users/ssr-lgi2p/qperez/mining/repositories/BottegaIT/ddd-leaven-v2;1;0;1;8;0;8;False;161;3691;480;480;147;0;29.777313;385;2013-12-06T14:00:22Z;12
51;brianway/springmvc-mybatis-learning;/users/ssr-lgi2p/qperez/mining/repositories/brianway/springmvc-mybatis-learning;7;0;7;31;0;31;False;58;3559;1762;1762;792;4;64.21033;16311;2016-03-10T07:29:31Z;6
52;BroadleafCommerce/BroadleafCommerce;/users/ssr-lgi2p/qperez/mining/repositories/BroadleafCommerce/BroadleafCommerce;25;0;25;511;0;511;False;2215;146405;1203;1203;973;171;53.506218;282244;2011-12-09T17:53:52Z;465
61;changmingxie/aggregate-framework;/users/ssr-lgi2p/qperez/mining/repositories/changmingxie/aggregate-framework;5;0;5;17;0;17;False;95;4680;194;194;98;1;6.8960238;2312;2015-09-02T03:10:46Z;0
70;classtag/mini-rpc;/users/ssr-lgi2p/qperez/mining/repositories/classtag/mini-rpc;2;0;2;4;0;4;False;17;594;146;146;115;1;34.749447;73;2015-01-04T08:26:59Z;0
79;Codingpedia/demo-rest-jersey-spring;/users/ssr-lgi2p/qperez/mining/repositories/Codingpedia/demo-rest-jersey-spring;1;0;1;13;0;13;False;30;1115;234;234;201;1;50.98622;346;2014-05-24T04:32:37Z;4
85;daniellitoc/xultimate-resource;/users/ssr-lgi2p/qperez/mining/repositories/daniellitoc/xultimate-resource;8;0;8;48;0;48;False;14;454;159;159;130;3;10.17165;256;2014-02-09T14:13:24Z;5
91;dearbinge/dubbo-spring-boot-mybatis-redis;/users/ssr-lgi2p/qperez/mining/repositories/dearbinge/dubbo-spring-boot-mybatis-redis;2;0;2;7;0;7;False;17;499;707;707;504;7;56.541584;29;2016-04-05T09:22:35Z;3
112;fanchaoo/forum;/users/ssr-lgi2p/qperez/mining/repositories/fanchaoo/forum;2;0;2;11;0;11;False;32;1604;244;244;159;10;28.930557;1223;2016-10-25T02:51:51Z;22
113;fanchaoo/hahu;/users/ssr-lgi2p/qperez/mining/repositories/fanchaoo/hahu;2;0;2;14;0;14;False;44;3042;254;254;126;4;28.383558;586;2017-05-03T09:33:15Z;28
116;Feng14/MiniWeChat-Server;/users/ssr-lgi2p/qperez/mining/repositories/Feng14/MiniWeChat-Server;1;0;1;10;0;10;False;80;23157;196;196;124;1;39.585884;26111;2015-03-09T02:11:17Z;0
117;fengjiachun/Jupiter;/users/ssr-lgi2p/qperez/mining/repositories/fengjiachun/Jupiter;3;0;3;12;0;12;False;400;27546;838;838;402;4;20.264761;9409;2015-10-23T15:04:14Z;0
132;FuZhucheng/SSM;/users/ssr-lgi2p/qperez/mining/repositories/FuZhucheng/SSM;5;0;5;13;0;13;False;60;2653;488;488;261;5;39.743156;86078;2017-04-01T13:09:08Z;26
134;gaussic/SpringMVCDemo;/users/ssr-lgi2p/qperez/mining/repositories/gaussic/SpringMVCDemo;1;0;1;4;0;4;False;6;317;402;402;376;31;69.800476;81;2016-03-08T14:49:10Z;4
149;hellokoding/registration-login-spring-xml-maven-jsp-mysql;/users/ssr-lgi2p/qperez/mining/repositories/hellokoding/registration-login-spring-xml-maven-jsp-mysql;2;0;2;6;0;6;False;11;273;110;110;181;1;51.40705;60;2015-12-29T01:10:38Z;11
154;hisenyuan/SSM_BookSystem;/users/ssr-lgi2p/qperez/mining/repositories/hisenyuan/SSM_BookSystem;14;0;14;45;0;45;False;59;3944;178;178;118;9;21.926828;225;2017-04-24T17:11:05Z;12
167;imalexyang/authManager;/users/ssr-lgi2p/qperez/mining/repositories/imalexyang/authManager;8;0;8;43;0;43;False;65;3729;110;110;94;1;16.918564;2579;2015-03-19T02:29:48Z;28
173;in28minutes/SpringMvcStepByStep;/users/ssr-lgi2p/qperez/mining/repositories/in28minutes/SpringMvcStepByStep;1;0;1;4;0;4;False;8;314;393;393;458;11;67.129555;469;2015-12-23T13:09:44Z;5
180;JaceyRx/Examination_System;/users/ssr-lgi2p/qperez/mining/repositories/JaceyRx/Examination_System;5;0;5;17;0;17;False;55;4560;540;540;316;15;32.533775;884;2017-07-07T12:17:50Z;22
